district,latitude,longitude,year,month,crime_category,crime_count,severity_weight,risk_weight,source,source_url
Dakshina Kannada,12.87,74.88,2020,0,Dowry Harassment,26,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Human Trafficking,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Kidnapping of Women,6,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,POCSO Rape,53,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,POCSO Sexual Assault,36,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Rape,21,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dakshina Kannada,12.87,74.88,2020,0,Sexual Harassment,7,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,Assault on Women,144,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,Cruelty by Husband,57,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,Dowry Death,5,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,Dowry Harassment,72,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,Human Trafficking,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,Kidnapping of Women,13,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,POCSO Rape,46,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,POCSO Sexual Assault,14,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Davanagere,14.47,75.92,2020,0,Rape,20,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Assault on Women,42,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Cruelty by Husband,75,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Cyber Harassment,7,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Dowry Death,2,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Dowry Harassment,9,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Gang Rape,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Human Trafficking,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Kidnapping of Women,13,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,POCSO Rape,35,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,POCSO Sexual Assault,6,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Dharwad,15.46,75.01,2020,0,Rape,9,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Gadag,15.42,75.62,2020,0,Assault on Women,35,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Gadag,15.42,75.62,2020,0,Cruelty by Husband,18,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Gadag,15.42,75.62,2020,0,Cyber Harassment,2,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Gadag,15.42,75.62,2020,0,Dowry Harassment,6,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Gadag,15.42,75.62,2020,0,POCSO Rape,29,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Gadag,15.42,75.62,2020,0,Rape,5,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Gadag,15.42,75.62,2020,0,Sexual Harassment,1,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Assault on Women,240,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Cruelty by Husband,64,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Cyber Harassment,6,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Dowry Death,14,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Dowry Harassment,93,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Kidnapping of Women,70,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,POCSO Rape,56,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Rape,19,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Hassan,13.01,76.1,2020,0,Sexual Harassment,2,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,Acid Attack,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,Assault on Women,89,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,Cruelty by Husband,35,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,Dowry Death,6,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,Dowry Harassment,19,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,Gang Rape,2,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,POCSO Rape,48,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,POCSO Sexual Assault,10,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Haveri,14.8,75.4,2020,0,Rape,10,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Assault on Women,190,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Cruelty by Husband,142,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Dowry Death,8,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Dowry Harassment,33,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Gang Rape,1,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Human Trafficking,3,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Kidnapping of Women,14,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Molestation,2,80,85,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,POCSO Rape,49,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,POCSO Sexual Assault,24,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Rape,24,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kalaburagi,17.33,76.83,2020,0,Sexual Harassment,6,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kodagu,12.42,75.74,2020,0,Assault on Women,44,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kodagu,12.42,75.74,2020,0,Cruelty by Husband,37,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kodagu,12.42,75.74,2020,0,Dowry Harassment,13,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kodagu,12.42,75.74,2020,0,POCSO Rape,63,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kodagu,12.42,75.74,2020,0,POCSO Sexual Assault,16,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kodagu,12.42,75.74,2020,0,Rape,9,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kodagu,12.42,75.74,2020,0,Sexual Harassment,1,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,Assault on Women,72,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,Cruelty by Husband,11,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,Cyber Harassment,3,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,Dowry Death,6,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,Dowry Harassment,15,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,POCSO Rape,37,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,POCSO Sexual Assault,5,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,Rape,10,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Kolar,13.14,78.13,2020,0,Sexual Harassment,1,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Assault on Women,102,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Cruelty by Husband,56,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Cyber Harassment,2,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Dowry Death,3,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Dowry Harassment,1,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Kidnapping of Women,18,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Molestation,1,80,85,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,POCSO Rape,49,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,POCSO Sexual Assault,10,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Rape,8,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Koppal,15.35,76.15,2020,0,Sexual Harassment,2,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,Assault on Women,281,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,Cruelty by Husband,78,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,Dowry Death,10,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,Dowry Harassment,32,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,POCSO Rape,53,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,POCSO Sexual Assault,18,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,Rape,13,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mandya,12.52,76.9,2020,0,Sexual Harassment,2,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Assault on Women,288,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Cruelty by Husband,83,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Cyber Harassment,3,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Dowry Death,16,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Dowry Harassment,97,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Human Trafficking,1,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Kidnapping of Women,3,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,POCSO Rape,68,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,POCSO Sexual Assault,21,95,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Rape,27,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Mysuru,12.3,76.64,2020,0,Sexual Harassment,3,75,80,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2020,0,Assault on Women,161,60,65,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2020,0,Cruelty by Husband,85,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2020,0,Cyber Harassment,2,55,60,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2020,0,Dowry Death,1,70,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2020,0,Dowry Harassment,66,65,70,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2020,0,Kidnapping of Women,17,90,95,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
Raichur,16.21,77.36,2020,0,POCSO Rape,35,100,100,NCRB Crime in India 2021 Volume I,https://ncrb.gov.in/
